Person ID number,Age,Gender,Education_yrs,Religion,Bats_increasing,Bats_decreasing,Bats_same,Contact,Past_eat_bat,Eat_bat,Past_catch_bats,Catch_bats,Prepare_eat,Past_mine_guano,Mine_guano,Leave_sick,Move_sick,Care_sick,Kill_sick,Give_sick,Eat_sick,Other_sick,Bat_harm_humans
1,18-24,M,-,Methodist,a,,,No,No,No,Yes,No,No,No,No,,,,d,,f,,No
2,30-39,M,12,Christian,,b,,Yes,Yes,No,Yes,No,No,Yes,No,,,c,,,,,Yes
3,50-59,M,13+,NA,,,c,Yes,Yes,No,Yes,No,No,No,No,,b,,,,,,Yes
4,50-59,M,12,Hindu,,b,,No,No,No,No,No,No,No,No,,,c,,,,,No
5,30-39,F,12,Hindu,,,c,No,No,No,No,No,No,No,No,,,c,,,,,No
6,30-39,M,10,NA,,b,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,b,,,,,,Yes
7,40-49,F,12,Catholic,a,,,No,Yes,Yes,No - only males,No - only males,Yes,No,No,,,,,,,Not sure,No
8,40-49,F,12,NA,a,,,No,Yes,Yes,Yes,Yes,No,No,No,,,,d,,f,,No
9,40-49,F,12,Christian,a,,,No,No,No,No,No,Yes,No,No,,,,,,,,No
10,50-59,M,11,Other Christian,a,,,No,No,Yes,Yes,No,Yes,No,No,,,c,,,,,No
11,25-30,F,10,Catholic,,,c,No,No,Yes,No,No,No,No,No,,,c,,,,,No
12,50-59,M,12,Catholic,,b,,No,No,No,Yes,No,No,No,No,,,,d,e,,,No
13,30-39,M,12,Catholic,,b,,Yes,Yes,Yes,Yes,No,Yes,No,No,,,,,,f,,Yes
14,30-39,M,10,Catholic,a,,,No,Yes,No,Yes,Yes,Yes,No,No,,,,d,,,,No
15,18-24,F,13+,Catholic,,b,,No,Yes,No,Yes,No,Yes,No,No,,,,,,f,,No
16,18-24,F,13+,Catholic,a,,,No,Yes,No,No,No,No,No,No,,,,,,f,,No
17,30-39,F,8,Catholic,a,,,No,No,No,Yes,No,Yes,No,No,,,c,,,,,No
18,30-39,M,13+,Seventh-day Adventist,,b,,Yes,Yes,No,Yes,No,Yes,No,No,a,,,,,f,,No
19,30-39,F,13+,Catholic,a,,,No,No,No,Yes,No,Yes,No,No,a,,,,,,,No
20,25-30,F,12,Catholic,a,,,No,Yes,No,No,No,No,No,No,a,,,,,,,No
21,30-39,M,8,Catholic,a,,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,a,,,,,,,Yes
22,60+,M,13+,Catholic,a,,,No,Yes,No,Yes,No,Yes,No,a,,,,d,,,,Yes
23,50-59,F,10,Anglican,,b,,No,No,No,No,No,No,No,No,,,c,,,,,No
24,60+,M,,Catholic,a,,,Yes,Yes,Yes,Yes,No,Yes,No,No,,,,d,,f,,Yes
25,40-49,F,10,Other Christian,a,b,,No,Yes,Yes,No,No,Yes,No,No,NA,,,,,,,Yes
26,25-30,F,13+,Hindu,,b,,No,No,No,No,No,No,No,No,a,,c,,,,,NA
27,40-49,M,13+,Methodist,,,c,Yes,Yes,No,Yes,No,Yes,No,No,,,c,,,,,Yes
28,25-30,F,12,Methodist,a,,,No,No,No,No,No,No,No,No,,,c,,,,,No
29,40-49,M,11,Christian,,b,,No,No,No,Yes,No,No,No,No,a,,,,,,,Yes
30,30-39,F,13,Hindu,,,c,No,No,No,No,No,No,No,No,a,,,,,,,No
31,40-49,M,12,Catholic,a,,,Yes,Yes,No,Yes,No,Yes,No,No,,,,d,,f,,Yes
32,50-59,M,9,Catholic,,b,,No,Yes,No,Yes,No,Yes,No,No,a,,,d,,,,Yes
33,30-39,F,12,Catholic,a,,,Yes,Yes,No,No,No,Yes,No,No,,,c,,,,,Yes
34,30-39,F,11,Catholic,a,,,No,Yes,Will eat,No,No,Yes,Yes,Yes,a,,,,,,,No
35,25-30,M,10,Catholic,a,,,No,Yes,No,Yes,No,Yes,No,No,,,,d,,,,Yes
36,25-30,M,10,Catholic,,,c,No,No,Will eat,Yes,No,No,No,No,,,,d,,f,,No
37,25-30,F,11,Catholic,a,,,No,Yes,Yes,Yes,Yes,Yes,No,No,,,,d,,f,,Yes
38,30-39,F,11,Catholic,a,,,No,Yes,Yes,No,No,Yes,No,No,,,,d,,,,Yes
39,60+,M,8,Catholic,a,,,Yes,Yes,No,Yes,No,Yes,No,No,,,,d,,f,,No
40,30-39,F,12,Other Christian,a,b,,No,Yes,No,No,No,Yes,No,No,,,,d,,,,No
41,60+,M,6,Methodist,,b,,No,Yes,No,Yes,No,Yes,No,No,,,c,,,,,Yes
42,18-24,F,12,Catholic,a,,,No,Yes,No,No,No,No,No,No,,,,d,,,,Yes
43,30-39,F,10,Catholic,,b,,No,Yes,No,No,No,Yes,No,No,,,c,,,,,Yes
44,18-24,F,12,Methodist,a,,,No,Yes,No,No,No,No,No,No,,,,d,,f,,Yes
45,18-24,M,10,Catholic,a,b,,No,Yes,No,Yes,No,Yes,No,No,,,,d,,f,,Yes
46,25-30,M,11,Catholic,a,,,,,,,,,,,,,,,,,,
47,60+,F,12,Catholic,a,,,Yes,Yes,No,Yes,No,Yes,No,No,,,c,,,,,Yes
48,50-59,F,9,Other Christian,a,,,Yes,Yes,No,Yes,No,No,Yes,No,a,,,,,,,No
49,50-59,M,9,Methodist,,,c,Yes,Yes,Yes,Yes,Yes,Yes,No,No,a,,,,,,,Yes
50,18-24,F,12,Methodist,a,,,No,No,No,No,No,No,No,No,,,,d,e,,,Yes
51,18-24,F,12,Methodist,a,,,No,No,No,No,No,Yes,No,No,,,c,,,,,No
52,18-24,F,12,Methodist,a,,,No,No,No,Yes,No,No,No,No,a,,,,,,,Yes
53,18-24,F,13,Seventh-day Adventist,a,,,Yes,Yes,No,No,No,Yes,No,No,,,,,e,,,Yes
54,18-24,F,12,Methodist,a,,,No,No,No,No,No,No,No,No,,,,d,e,,,No
55,30-39,F,12,Methodist,a,,,No,Yes,No,Yes,No,Yes,No,No,,,,d,,f,,Yes
56,18-24,F,12,Methodist,a,b,,No,Yes,No,No,No,No,No,No,,,,d,e,,,Yes
57,25-29,M,11,Seventh-day Adventist,a,b,,No,No,No,No,No,No,No,No,,,c,,,,,Yes
58,30-39,M,9,Methodist,,,c,No,Yes,No,Yes,No,Yes,No,No,,,,d,,f,,No
59,25-30,M,9,Methodist,a,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,f,,Yes
59,,,,,a,,,,Yes,No,Yes,,,,,,,,,,,,
60,18-24,M,13,Methodist,a,,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,a,,,,,,,Yes
61,18-24,F,13,Catholic,a,,,No,Yes,Yes,No,No,Yes,No,No,,,,,,f,,Yes
62,50-59,F,10,Methodist,NA,,,No,Yes,Yes,No,No,Yes,No,No,,,,,,f,,Yes
63,60+,F,12,Methodist,,b,,Yes,Yes,Yes,No,No,Yes,Yes,Yes,,,,,,f,,No
64,18-24,M,11,Methodist,,b,,Yes,Yes,No,Yes,No,Yes,Yes,Yes,,,,,,f,,Yes
65,30-39,M,13,Christian,a,,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,a,,,,,,,No
66,30-39,M,10,Methodist,,b,,Yes,Yes,No,Yes,No,Yes,No,No,a,,,,,,,Yes
67,40-49,M,10,Methodist,,b,,Yes,Yes,No,Yes,No,Yes,No,No,a,,,,,,,Yes
,,,,,,,,,,,Yes,No,,,,,,,,,,,
68,25-30,F,13+,Methodist,,b,,No,Yes,No,No,No,Yes,No,No,a,,,,,,,Yes
,,,,,,,,,Yes,,No,No,,,,,,,,,,,
